"id","user","userID","game","gameIndex","achieved","percent","total"
"230","wdFXe6xEBreXiuKyyTRJXYb3fuw2","109","-KYFkPs85UMJPEaRfFOT","9","2225","86","2600"
"231","wdFXe6xEBreXiuKyyTRJXYb3fuw2","109","-KYFkvRFxGXVOT_CeCDP","10","750","84","900"
"232","wdFXe6xEBreXiuKyyTRJXYb3fuw2","109","-KYFlCV6UT9GOelKcfHQ","11","1125","94","1200"
"233","wdFXe6xEBreXiuKyyTRJXYb3fuw2","109","-KYFmJHN4-y8OWJjBACv","12","925","93","1000"
"234","wdFXe6xEBreXiuKyyTRJXYb3fuw2","109","-KYFoAPM17_BXaGNhH9U","13","825","92","900"
"235","wdFXe6xEBreXiuKyyTRJXYb3fuw2","109","-KYFoaBHiZaNbSkf2XXr","14","1300","93","1400"
"236","wdFXe6xEBreXiuKyyTRJXYb3fuw2","109","-KYIKvFzkchh-7FZaUMe","15","1375","99","1400"
"237","wdFXe6xEBreXiuKyyTRJXYb3fuw2","109","-KYILGnX1atfYAZGny28","16","1175","84","1400"
"238","wkakcEccQBPZcLxcKtmvSbdHFRs2","110","-KYEL3XcnD7iRPgY4KWX","1","3200","80","4000"
"239","xIalT9WMsTZFz0OvaFeYQNkfW0g1","111","-KgsujkaGi0Xtv_puKOI","1","1900","80","2400"
"240","xIalT9WMsTZFz0OvaFeYQNkfW0g1","111","-Kgsv6g51mGTfbWljg86","2","2550","68","3800"
"241","xSp2uaoeORRpfEX0VFgL0VO9xvU2","112","-KfbZhCMWL_8_MhVGACa","1","2200","79","2800"
"242","xoqMalxVZsQWKpcOvRlFFvjecCG3","113","-KYEL-xqXu1luW7F7CdR","1","1000","72","1400"
"243","yD3SWfr3CMhA6fRcSwup9DGKcEB3","114","-KYFJNErv9LN3akUXlE4","1","2775","75","3700"
"244","zfvcOKxX1ieZxdvxwBACbbTwZaM2","115","-KYFcp72GAzGaXQJH1Um","1","3125","79","4000"
"245","zfvcOKxX1ieZxdvxwBACbbTwZaM2","115","-KYFcwC51WnysyKyJem1","2","3200","80","4000"
